flow_id,group,flow_name,seq,kind,step,screens,controls,flags,finding,severity,wcag_ref,status,owner
H1,Decisions,Quiet-book glance,0,entry,"Launch, or nav to Home, with nothing pending",Home,,read only; the 90% day,,,,,
H1,Decisions,Quiet-book glance,1,step,Read the 'Nothing needs you' strip and the next check time,Home,None (read only),read only; the 90% day,,,,,
H1,Decisions,Quiet-book glance,2,step,"Read P&L across the four windows: today, week, month, year",Home,None (read only),read only; the 90% day,,,,,
H1,Decisions,Quiet-book glance,3,step,Read capital deployed against idle,Home,None (read only),read only; the 90% day,,,,,
H1,Decisions,Quiet-book glance,4,step,"Read the four position quick-rows, then leave",Home,None (read only),read only; the 90% day,,,,,
H1,Decisions,Quiet-book glance,5,end,No action taken. The intended everyday flow,Home,,read only; the 90% day,,,,,
H2,Decisions,Review a pending proposal,0,entry,Home with at least one pending card,Home,,read only; disclosure,,,,,
H2,Decisions,Review a pending proposal,1,step,"Read the card header: type label, action, sub-line, deadline chip",Home,"Reasons disclosure (Role.Button, onClickLabel 'Expand reasons' / 'Collapse reasons')",read only; disclosure,,,,,
H2,Decisions,Review a pending proposal,2,step,Read the headline figure: annualized percent against the APR gate,Home,"Reasons disclosure (Role.Button, onClickLabel 'Expand reasons' / 'Collapse reasons')",read only; disclosure,,,,,
H2,Decisions,Review a pending proposal,3,step,"Read the key-value grid: premium, IV rank, assignment odds",Home,"Reasons disclosure (Role.Button, onClickLabel 'Expand reasons' / 'Collapse reasons')",read only; disclosure,,,,,
H2,Decisions,Review a pending proposal,4,step,Tap 'Why the engine wants this (5)' to expand the reasons list,Home,"Reasons disclosure (Role.Button, onClickLabel 'Expand reasons' / 'Collapse reasons')",read only; disclosure,,,,,
H2,Decisions,Review a pending proposal,5,step,Collapse it again,Home,"Reasons disclosure (Role.Button, onClickLabel 'Expand reasons' / 'Collapse reasons')",read only; disclosure,,,,,
H2,Decisions,Review a pending proposal,6,branch,"On the stop-trigger card the reasons are expanded by default, and an attribution split bar replaces the headline figure",Home,"Reasons disclosure (Role.Button, onClickLabel 'Expand reasons' / 'Collapse reasons')",read only; disclosure,,,,,
H2,Decisions,Review a pending proposal,7,end,User is informed; the card is still pending,Home,,read only; disclosure,,,,,
H3,Decisions,Approve an entry proposal,0,entry,"Home, entry card (optionally after H2)",Home,,writes to server; no confirm; no in-flight state; silent failure,,,,,
H3,Decisions,Approve an entry proposal,1,step,"Tap Approve, the filled primary-styled button",Home,"Approve button (Role.Button, onClickLabel = option label)",writes to server; no confirm; no in-flight state; silent failure,,,,,
H3,Decisions,Approve an entry proposal,2,step,"The app posts the decision, then refetches everything",Home,"Approve button (Role.Button, onClickLabel = option label)",writes to server; no confirm; no in-flight state; silent failure,,,,,
H3,Decisions,Approve an entry proposal,3,step,The resolved card disappears from the list and the nav badge count drops,Home,"Approve button (Role.Button, onClickLabel = option label)",writes to server; no confirm; no in-flight state; silent failure,,,,,
H3,Decisions,Approve an entry proposal,4,branch,"Post fails: logged, no message, card stays exactly as it was",Home,"Approve button (Role.Button, onClickLabel = option label)",writes to server; no confirm; no in-flight state; silent failure,,,,,
H3,Decisions,Approve an entry proposal,5,end,Card gone. That disappearance is the only success signal,Home,,writes to server; no confirm; no in-flight state; silent failure,,,,,
H4,Decisions,"Veto a proposal, with a reason",0,entry,"Veto on an entry card, or Hold on a stop-trigger card (both are rejections; both route here)",Home + modal sheet,,form; modal; label mismatch; input loss on dismiss; silent failure,,,,,
H4,Decisions,"Veto a proposal, with a reason",1,step,"Tap Veto or Hold: a modal bottom sheet slides up over the screen, with a drag handle and a scrim",Home + modal sheet,Veto / Hold button; reason text field; Confirm veto (disabled until non-blank); Cancel; drag handle; scrim,form; modal; label mismatch; input loss on dismiss; silent failure,,,,,
H4,Decisions,"Veto a proposal, with a reason",2,step,Read the title 'Why veto this?' and the note explaining that this text is what trains the rubric,Home + modal sheet,Veto / Hold button; reason text field; Confirm veto (disabled until non-blank); Cancel; drag handle; scrim,form; modal; label mismatch; input loss on dismiss; silent failure,,,,,
H4,Decisions,"Veto a proposal, with a reason",3,step,Focus the single free-text field (placeholder 'What did the engine miss?'); the soft keyboard opens over the sheet,Home + modal sheet,Veto / Hold button; reason text field; Confirm veto (disabled until non-blank); Cancel; drag handle; scrim,form; modal; label mismatch; input loss on dismiss; silent failure,,,,,
H4,Decisions,"Veto a proposal, with a reason",4,step,Type a reason. Confirm veto is disabled while the field is blank and enables on the first non-space character,Home + modal sheet,Veto / Hold button; reason text field; Confirm veto (disabled until non-blank); Cancel; drag handle; scrim,form; modal; label mismatch; input loss on dismiss; silent failure,,,,,
H4,Decisions,"Veto a proposal, with a reason",5,step,"Tap Confirm veto: sheet dismisses, post with the reason, refresh, card disappears",Home + modal sheet,Veto / Hold button; reason text field; Confirm veto (disabled until non-blank); Cancel; drag handle; scrim,form; modal; label mismatch; input loss on dismiss; silent failure,,,,,
H4,Decisions,"Veto a proposal, with a reason",6,branch,"Tap Cancel: abandons, text discarded",Home + modal sheet,Veto / Hold button; reason text field; Confirm veto (disabled until non-blank); Cancel; drag handle; scrim,form; modal; label mismatch; input loss on dismiss; silent failure,,,,,
H4,Decisions,"Veto a proposal, with a reason",7,branch,"Tap the scrim: abandons, text discarded",Home + modal sheet,Veto / Hold button; reason text field; Confirm veto (disabled until non-blank); Cancel; drag handle; scrim,form; modal; label mismatch; input loss on dismiss; silent failure,,,,,
H4,Decisions,"Veto a proposal, with a reason",8,branch,"System back: abandons, text discarded",Home + modal sheet,Veto / Hold button; reason text field; Confirm veto (disabled until non-blank); Cancel; drag handle; scrim,form; modal; label mismatch; input loss on dismiss; silent failure,,,,,
H4,Decisions,"Veto a proposal, with a reason",9,branch,"Drag the sheet down: abandons, text discarded. Reopening always starts empty",Home + modal sheet,Veto / Hold button; reason text field; Confirm veto (disabled until non-blank); Cancel; drag handle; scrim,form; modal; label mismatch; input loss on dismiss; silent failure,,,,,
H4,Decisions,"Veto a proposal, with a reason",10,branch,"Post fails: logged, no message, the card stays exactly as it was",Home + modal sheet,Veto / Hold button; reason text field; Confirm veto (disabled until non-blank); Cancel; drag handle; scrim,form; modal; label mismatch; input loss on dismiss; silent failure,,,,,
H4,Decisions,"Veto a proposal, with a reason",11,end,"Card gone and the reason posted, or the veto abandoned with input lost",Home + modal sheet,,form; modal; label mismatch; input loss on dismiss; silent failure,,,,,
H5,Decisions,Snooze a decision,0,entry,"Home, any card carrying a Snooze option",Home,,writes to server; no confirm; no undo; silent failure,,,,,
H5,Decisions,Snooze a decision,1,step,"Tap Snooze, ghost-styled and narrower than its siblings",Home,"Snooze button (Role.Button, onClickLabel = option label)",writes to server; no confirm; no undo; silent failure,,,,,
H5,Decisions,Snooze a decision,2,step,"Immediate post, then refresh; the card leaves the list",Home,"Snooze button (Role.Button, onClickLabel = option label)",writes to server; no confirm; no undo; silent failure,,,,,
H5,Decisions,Snooze a decision,3,branch,"Post fails: logged, no message, the card stays exactly as it was",Home,"Snooze button (Role.Button, onClickLabel = option label)",writes to server; no confirm; no undo; silent failure,,,,,
H5,Decisions,Snooze a decision,4,end,Card gone,Home,,writes to server; no confirm; no undo; silent failure,,,,,
H6,Decisions,Resolve a stop-trigger card,0,entry,"Home, stop-trigger card: the stop was hit, but the adverse move is volatility-driven rather than the stock sliding",Home,,writes to server; colour-carried meaning; no default option; silent failure,,,,,
H6,Decisions,Resolve a stop-trigger card,1,step,"Read the reasons, which are already expanded on this card type",Home,Exit now / Hold / Snooze buttons,writes to server; colour-carried meaning; no default option; silent failure,,,,,
H6,Decisions,Resolve a stop-trigger card,2,step,Read the attribution split: how much of the move is the stock and how much is volatility,Home,Exit now / Hold / Snooze buttons,writes to server; colour-carried meaning; no default option; silent failure,,,,,
H6,Decisions,Resolve a stop-trigger card,3,step,"Choose Exit now, Hold, or Snooze",Home,Exit now / Hold / Snooze buttons,writes to server; colour-carried meaning; no default option; silent failure,,,,,
H6,Decisions,Resolve a stop-trigger card,4,branch,"Exit now: single tap, shaped like H3",Home,Exit now / Hold / Snooze buttons,writes to server; colour-carried meaning; no default option; silent failure,,,,,
H6,Decisions,Resolve a stop-trigger card,5,branch,"Hold: opens the reason sheet, H4",Home,Exit now / Hold / Snooze buttons,writes to server; colour-carried meaning; no default option; silent failure,,,,,
H6,Decisions,Resolve a stop-trigger card,6,branch,Snooze: H5,Home,Exit now / Hold / Snooze buttons,writes to server; colour-carried meaning; no default option; silent failure,,,,,
H6,Decisions,Resolve a stop-trigger card,7,branch,"Post fails: logged, no message, the card stays exactly as it was",Home,Exit now / Hold / Snooze buttons,writes to server; colour-carried meaning; no default option; silent failure,,,,,
H6,Decisions,Resolve a stop-trigger card,8,end,Card resolved,Home,,writes to server; colour-carried meaning; no default option; silent failure,,,,,
H7,Decisions,Choose a post-loss branch,0,entry,"Home, post-loss branch card",Home,,select then confirm; radio group without radio semantics; silent failure,,,,,
H7,Decisions,Choose a post-loss branch,1,step,Read the realized loss and its attribution,Home,"Three branch rows (Role.Button, onClickLabel = option label); Confirm choice (disabled until a row is selected)",select then confirm; radio group without radio semantics; silent failure,,,,,
H7,Decisions,Choose a post-loss branch,2,step,"Read three branch rows: each a radio glyph, a label, and a one-line detail; one carries an ENGINE'S PICK tag",Home,"Three branch rows (Role.Button, onClickLabel = option label); Confirm choice (disabled until a row is selected)",select then confirm; radio group without radio semantics; silent failure,,,,,
H7,Decisions,Choose a post-loss branch,3,step,Tap a row to select it. The row fills and its border thickens,Home,"Three branch rows (Role.Button, onClickLabel = option label); Confirm choice (disabled until a row is selected)",select then confirm; radio group without radio semantics; silent failure,,,,,
H7,Decisions,Choose a post-loss branch,4,step,"Confirm choice enables. Tap it: post, then refresh",Home,"Three branch rows (Role.Button, onClickLabel = option label); Confirm choice (disabled until a row is selected)",select then confirm; radio group without radio semantics; silent failure,,,,,
H7,Decisions,Choose a post-loss branch,5,branch,The selection can be changed any number of times before confirming,Home,"Three branch rows (Role.Button, onClickLabel = option label); Confirm choice (disabled until a row is selected)",select then confirm; radio group without radio semantics; silent failure,,,,,
H7,Decisions,Choose a post-loss branch,6,branch,"Nothing is pre-selected, and the footnote says so: agreeing costs the same tap as disagreeing",Home,"Three branch rows (Role.Button, onClickLabel = option label); Confirm choice (disabled until a row is selected)",select then confirm; radio group without radio semantics; silent failure,,,,,
H7,Decisions,Choose a post-loss branch,7,branch,"Post fails: logged, no message, the card stays exactly as it was",Home,"Three branch rows (Role.Button, onClickLabel = option label); Confirm choice (disabled until a row is selected)",select then confirm; radio group without radio semantics; silent failure,,,,,
H7,Decisions,Choose a post-loss branch,8,end,Branch chosen and posted,Home,,select then confirm; radio group without radio semantics; silent failure,,,,,
H8,Decisions,Go from Home to the full board,0,entry,"Home, question 4 header, the 'All' link",Home,,dead control,,,,,
H8,Decisions,Go from Home to the full board,1,step,Tap 'All',Home,'All' link on the question 4 header,dead control,,,,,
H8,Decisions,Go from Home to the full board,2,step,Nothing happens: the handler is never wired up,Home,'All' link on the question 4 header,dead control,,,,,
H8,Decisions,Go from Home to the full board,3,branch,The working path to the board is the bottom nav (G2),Home,'All' link on the question 4 header,dead control,,,,,
H8,Decisions,Go from Home to the full board,4,branch,'Deadline order' on the question-1 header is a label only and is not clickable,Home,'All' link on the question 4 header,dead control,,,,,
H8,Decisions,Go from Home to the full board,5,end,Dead end,Home,,dead control,,,,,
P1,Positions,Scan the board,0,entry,Bottom nav to Positions,Positions,,read only; high density,,,,,
P1,Positions,Scan the board,1,step,"Read three aggregate cells (margin, net exposure, synthetic cash), each a figure over a thin meter bar",Positions,Rows are clickable (see P2 / P3); nothing else required,read only; high density,,,,,
P1,Positions,Scan the board,2,step,"Read the section header: underlying count on the left, banded total on the right",Positions,Rows are clickable (see P2 / P3); nothing else required,read only; high density,,,,,
P1,Positions,Scan the board,3,step,"Read one row per underlying: contract identity and total P&L, then economics, then the engine's management line",Positions,Rows are clickable (see P2 / P3); nothing else required,read only; high density,,,,,
P1,Positions,Scan the board,4,step,Read the closing note on which figures carry a band and which are facts,Positions,Rows are clickable (see P2 / P3); nothing else required,read only; high density,,,,,
P1,Positions,Scan the board,5,end,User knows the state of the book,Positions,,read only; high density,,,,,
P2,Positions,Drill into a position and come back,0,entry,"Positions board, a row that has detail data (MSFT today)",Positions; Position detail,,navigation; no on-screen back,,,,,
P2,Positions,Drill into a position and come back,1,step,Tap the row: Position detail for that ticker,Positions; Position detail,"Board row (Role.Button, onClickLabel 'Open MSFT detail'); system back; band chip",navigation; no on-screen back,,,,,
P2,Positions,Drill into a position and come back,2,step,"Read down: header, economics grid, stop meter, unrealized row, auto-exit note, volatility context from entry to now, P&L attribution split",Positions; Position detail,"Board row (Role.Button, onClickLabel 'Open MSFT detail'); system back; band chip",navigation; no on-screen back,,,,,
P2,Positions,Drill into a position and come back,3,step,"Read the position facts: stock price, distance to strike, delta, margin consumed, assignment odds",Positions; Position detail,"Board row (Role.Button, onClickLabel 'Open MSFT detail'); system back; band chip",navigation; no on-screen back,,,,,
P2,Positions,Drill into a position and come back,4,step,System back or the back gesture returns to the board,Positions; Position detail,"Board row (Role.Button, onClickLabel 'Open MSFT detail'); system back; band chip",navigation; no on-screen back,,,,,
P2,Positions,Drill into a position and come back,5,branch,Bottom nav also exits the detail screen (G2),Positions; Position detail,"Board row (Role.Button, onClickLabel 'Open MSFT detail'); system back; band chip",navigation; no on-screen back,,,,,
P2,Positions,Drill into a position and come back,6,branch,"The band chip works here, and is again independent of the board's",Positions; Position detail,"Board row (Role.Button, onClickLabel 'Open MSFT detail'); system back; band chip",navigation; no on-screen back,,,,,
P2,Positions,Drill into a position and come back,7,end,Back on the board,Positions; Position detail,,navigation; no on-screen back,,,,,
P3,Positions,Tap a row that has no detail,0,entry,"Positions board, any row other than MSFT",Positions,,dead control,,,,,
P3,Positions,Tap a row that has no detail,1,step,Tap the row,Positions,"Board row (Role.Button, onClickLabel 'Open TICKER detail')",dead control,,,,,
P3,Positions,Tap a row that has no detail,2,step,Nothing happens,Positions,"Board row (Role.Button, onClickLabel 'Open TICKER detail')",dead control,,,,,
P3,Positions,Tap a row that has no detail,3,end,Dead end,Positions,,dead control,,,,,
R1,Risk,Read the exposure picture,0,entry,Bottom nav to Risk,Risk,,read only; unlabelled band,,,,,
R1,Risk,Read the exposure picture,1,step,Read the 'if everything assigns at once' figure against available cash and margin,Risk,None (read only),read only; unlabelled band,,,,,
R1,Risk,Read the exposure picture,2,step,Read the concentration bars by underlying,Risk,None (read only),read only; unlabelled band,,,,,
R1,Risk,Read the exposure picture,3,step,Read the largest-name question line beneath them,Risk,None (read only),read only; unlabelled band,,,,,
R1,Risk,Read the exposure picture,4,end,User knows the standing worst-case exposure,Risk,,read only; unlabelled band,,,,,
R2,Risk,Engage or release the kill switch,0,entry,"Risk, kill-switch box at the bottom of the scroll",Risk (banner affects all),,writes to server; no confirm; no in-flight state; silent failure,,,,,
R2,Risk,Engage or release the kill switch,1,step,"Read the copy: pausing stops the engine opening new positions, and it keeps managing exits (rolls, buy-backs, assignments continue)",Risk (banner affects all),"Kill switch button (Role.Button, onClickLabel 'Pause new entries' / 'Resume new entries', disabled while in flight)",writes to server; no confirm; no in-flight state; silent failure,,,,,
R2,Risk,Engage or release the kill switch,2,step,Tap Pause new entries,Risk (banner affects all),"Kill switch button (Role.Button, onClickLabel 'Pause new entries' / 'Resume new entries', disabled while in flight)",writes to server; no confirm; no in-flight state; silent failure,,,,,
R2,Risk,Engage or release the kill switch,3,step,The request round-trips; on success the button inverts to a filled Resume new entries,Risk (banner affects all),"Kill switch button (Role.Button, onClickLabel 'Pause new entries' / 'Resume new entries', disabled while in flight)",writes to server; no confirm; no in-flight state; silent failure,,,,,
R2,Risk,Engage or release the kill switch,4,step,The paused banner appears in the chrome of every screen,Risk (banner affects all),"Kill switch button (Role.Button, onClickLabel 'Pause new entries' / 'Resume new entries', disabled while in flight)",writes to server; no confirm; no in-flight state; silent failure,,,,,
R2,Risk,Engage or release the kill switch,5,branch,Reverse: tap Resume new entries; the banner clears everywhere,Risk (banner affects all),"Kill switch button (Role.Button, onClickLabel 'Pause new entries' / 'Resume new entries', disabled while in flight)",writes to server; no confirm; no in-flight state; silent failure,,,,,
R2,Risk,Engage or release the kill switch,6,branch,"Request fails: logged, the button does not change, no message",Risk (banner affects all),"Kill switch button (Role.Button, onClickLabel 'Pause new entries' / 'Resume new entries', disabled while in flight)",writes to server; no confirm; no in-flight state; silent failure,,,,,
R2,Risk,Engage or release the kill switch,7,branch,"One tap arms it; there is no confirmation dialog, by requirement",Risk (banner affects all),"Kill switch button (Role.Button, onClickLabel 'Pause new entries' / 'Resume new entries', disabled while in flight)",writes to server; no confirm; no in-flight state; silent failure,,,,,
R2,Risk,Engage or release the kill switch,8,end,"Engine paused or resumed, and the global banner matches",Risk (banner affects all),,writes to server; no confirm; no in-flight state; silent failure,,,,,
